ir_k3_r2_re ir_k3_r2_hs ir_k3_re ir_k3_hs ir_k5_r2_re ir_k5_r2_hs ir_k5_re ir_k5_hs ir_k7_re ir_k7_hs skip
48614.89999999957 49668.399999999834 33144.40000000029 45631.649999999805 35566.10000000004 47433.250000000095 35055.34999999993 47808.10000000013 39127.39999999992 51972.95000000013 3234.5999999998653
18778.399999999972 23581.59999999998 25700.899999999914 33634.149999999696 25084.899999999965 34041.849999999926 27244.3 28300.49999999984 19484.799999999857 24835.350000000035 1591.1000000001784
18595.1000000002 21815.049999999836 17411.449999999993 22627.799999999977 17123.54999999999 23878.600000000195 17695.300000000192 24315.150000000063 18086.00000000027 25284.450000000015 3179.9499999998206
24710.499999999858 31682.750000000317 25498.79999999982 30392.30000000037 20864.84999999971 29223.999999999694 22608.94999999996 29264.949999999957 20473.65000000001 29276.55000000007 1417.2500000002585
10339.499999999724 13031.550000000003 10615.699999999784 12820.699999999797 8712.649999999656 12213.699999999772 10044.350000000257 12823.00000000003 9939.550000000352 12842.55000000023 1068.849999999788
27118.25000000001 32325.84999999988 24252.199999999833 24719.80000000018 20639.15000000005 27650.649999999998 19812.500000000455 25670.499999999487 19573.15000000026 27737.850000000286 6.799999999529405
20436.7999999997 28184.55000000064 21519.200000000183 27108.450000000063 25712.299999999464 36995.350000000646 21830.24999999983 26864.20000000034 20106.00000000018 24234.05000000045 5.050000000395016
26744.500000000393 29427.00000000009 25021.600000000533 31218.399999999314 23258.000000000222 28315.00000000009 28317.249999999738 40410.89999999947 32828.79999999988 33654.25000000055 3420.049999999897
35923.05000000007 39384.00000000009 36557.94999999973 39262.149999999885 35756.000000000124 52500.79999999979 36951.90000000004 46842.149999999805 32193.14999999945 41699.4500000003 1992.1999999992224
21893.599999999402 22602.59999999992 23311.699999999822 23901.94999999995 23807.149999999667 25713.950000000095 24077.450000000055 26862.50000000001 20782.299999999588 32086.200000000175 3305.450000000043
54552.19999999983 64245.04999999936 55875.20000000001 52576.299999999246 55348.0000000004 66976.05000000006 47154.100000000195 51096.499999999876 63433.150000000714 64243.199999999946 6.9000000006980144
